ticket_id,created_at,customer_id,channel,subject,message,category,priority,status,sentiment,summary,assigned_team
TCK-0001,2026-03-19 21:33:37,CUST-1250,chat,Subscription billing issue,Please help me fix this billing problem quickly.,billing,low,pending,negative,Subscription billing issue: Please help me fix this billing problem quickly.,billing
TCK-0002,2026-02-03 17:00:37,CUST-1214,email,Password reset issue,The application is slow and sometimes throws an error.,technical,medium,closed,negative,Password reset issue: The application is slow and sometimes throws an error.,engineering
TCK-0003,2026-02-13 03:47:37,CUST-1067,email,Double charge,I was charged twice for my subscription and I need a refund.,billing,medium,open,negative,Double charge: I was charged twice for my subscription and I need a refund.,billing
TCK-0004,2026-03-17 08:03:37,CUST-1222,email,Suggestion for export options,I would like more filtering options in reports.,product,low,open,neutral,Suggestion for export options: I would like more filtering options in reports.,product
TCK-0005,2026-02-13 10:29:37,CUST-1296,web,Need better filtering,Please consider improving the dashboard usability.,product,low,open,neutral,Need better filtering: Please consider improving the dashboard usability.,product
TCK-0006,2026-02-03 17:54:37,CUST-1265,chat,Dashboard crash,I am unable to access a feature that worked yesterday.,technical,medium,open,positive,Dashboard crash: I am unable to access a feature that worked yesterday.,engineering
TCK-0007,2026-03-11 19:44:37,CUST-1086,email,Password reset issue,I am unable to access a feature that worked yesterday.,technical,medium,open,positive,Password reset issue: I am unable to access a feature that worked yesterday.,engineering
TCK-0008,2026-03-17 09:39:37,CUST-1066,web,Dashboard crash,The application is slow and sometimes throws an error.,technical,high,open,negative,Dashboard crash: The application is slow and sometimes throws an error.,engineering
TCK-0009,2026-02-05 17:00:37,CUST-1177,chat,Password reset issue,I am unable to access a feature that worked yesterday.,technical,low,open,positive,Password reset issue: I am unable to access a feature that worked yesterday.,engineering
TCK-0010,2026-02-12 11:10:37,CUST-1102,chat,Payment issue,I was charged twice for my subscription and I need a refund.,billing,high,closed,negative,Payment issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0011,2026-03-18 17:13:37,CUST-1278,web,Export button not working,The application is slow and sometimes throws an error.,technical,high,open,negative,Export button not working: The application is slow and sometimes throws an error.,engineering
TCK-0012,2026-01-30 09:58:37,CUST-1139,email,Dashboard crash,I cannot log into my account after resetting my password.,technical,medium,open,negative,Dashboard crash: I cannot log into my account after resetting my password.,engineering
TCK-0013,2026-03-06 03:56:37,CUST-1027,web,Login problem,I cannot log into my account after resetting my password.,technical,medium,open,negative,Login problem: I cannot log into my account after resetting my password.,engineering
TCK-0014,2026-03-06 03:37:37,CUST-1221,chat,Need better filtering,Please consider improving the dashboard usability.,product,low,open,neutral,Need better filtering: Please consider improving the dashboard usability.,product
TCK-0015,2026-02-19 12:10:37,CUST-1196,web,Account question,I have a general question about how the platform works.,general,low,open,neutral,Account question: I have a general question about how the platform works.,support
TCK-0016,2026-02-27 05:45:37,CUST-1071,email,Support request,I have a general question about how the platform works.,general,low,open,positive,Support request: I have a general question about how the platform works.,support
TCK-0017,2026-02-18 04:08:37,CUST-1217,chat,Suggestion for export options,This is not urgent but I have a product suggestion.,product,medium,open,neutral,Suggestion for export options: This is not urgent but I have a product suggestion.,product
TCK-0018,2026-02-02 13:45:37,CUST-1164,chat,Subscription billing issue,The invoice amount looks incorrect on my account.,billing,low,closed,neutral,Subscription billing issue: The invoice amount looks incorrect on my account.,billing
TCK-0019,2026-02-11 04:55:37,CUST-1120,web,General question,I have a general question about how the platform works.,general,low,open,neutral,General question: I have a general question about how the platform works.,support
TCK-0020,2026-02-23 15:14:37,CUST-1196,chat,Password reset issue,There seems to be a bug when I try to open the dashboard.,technical,low,open,neutral,Password reset issue: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0021,2026-02-20 12:05:37,CUST-1081,phone,Export button not working,The application is slow and sometimes throws an error.,technical,high,pending,negative,Export button not working: The application is slow and sometimes throws an error.,engineering
TCK-0022,2026-01-18 20:49:37,CUST-1056,email,Dashboard improvement,It would be great to have dark mode in the dashboard.,product,low,closed,neutral,Dashboard improvement: It would be great to have dark mode in the dashboard.,product
TCK-0023,2026-03-03 19:17:37,CUST-1237,chat,Export button not working,The export button crashes every time I click on it.,technical,high,open,negative,Export button not working: The export button crashes every time I click on it.,engineering
TCK-0024,2026-02-14 20:49:37,CUST-1047,email,Need better filtering,This is not urgent but I have a product suggestion.,product,low,open,neutral,Need better filtering: This is not urgent but I have a product suggestion.,product
TCK-0025,2026-01-20 17:11:37,CUST-1137,web,General question,I need more information before continuing.,general,medium,pending,neutral,General question: I need more information before continuing.,support
TCK-0026,2026-02-18 08:28:37,CUST-1196,web,Dashboard improvement,Please consider improving the dashboard usability.,product,low,open,neutral,Dashboard improvement: Please consider improving the dashboard usability.,product
TCK-0027,2026-03-06 02:31:37,CUST-1159,chat,Dark mode suggestion,This is not urgent but I have a product suggestion.,product,low,open,neutral,Dark mode suggestion: This is not urgent but I have a product suggestion.,product
TCK-0028,2026-01-30 22:29:37,CUST-1123,web,Double charge,My payment failed but the money was still debited.,billing,low,closed,positive,Double charge: My payment failed but the money was still debited.,billing
TCK-0029,2026-02-07 04:46:37,CUST-1139,email,Login problem,The export button crashes every time I click on it.,technical,medium,open,neutral,Login problem: The export button crashes every time I click on it.,engineering
TCK-0030,2026-01-20 04:11:37,CUST-1031,phone,Export button not working,I cannot log into my account after resetting my password.,technical,medium,pending,negative,Export button not working: I cannot log into my account after resetting my password.,engineering
TCK-0031,2026-02-26 19:42:37,CUST-1125,email,Payment issue,My payment failed but the money was still debited.,billing,low,open,neutral,Payment issue: My payment failed but the money was still debited.,billing
TCK-0032,2026-02-28 13:00:37,CUST-1109,chat,Password reset issue,I cannot log into my account after resetting my password.,technical,high,open,negative,Password reset issue: I cannot log into my account after resetting my password.,engineering
TCK-0033,2026-01-18 10:33:37,CUST-1271,chat,Payment issue,I was charged twice for my subscription and I need a refund.,billing,high,open,negative,Payment issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0034,2026-03-05 11:08:37,CUST-1239,chat,Dark mode suggestion,This is not urgent but I have a product suggestion.,product,low,open,neutral,Dark mode suggestion: This is not urgent but I have a product suggestion.,product
TCK-0035,2026-03-14 00:10:37,CUST-1002,web,Refund request,I have not received my refund after several days.,billing,high,pending,negative,Refund request: I have not received my refund after several days.,billing
TCK-0036,2026-02-07 13:20:37,CUST-1128,phone,Suggestion for export options,Please consider improving the dashboard usability.,product,low,open,neutral,Suggestion for export options: Please consider improving the dashboard usability.,product
TCK-0037,2026-03-04 12:15:37,CUST-1132,email,Subscription billing issue,I have not received my refund after several days.,billing,high,open,negative,Subscription billing issue: I have not received my refund after several days.,billing
TCK-0038,2026-02-26 21:36:37,CUST-1299,chat,Account question,Can someone help me understand a feature in my account?,general,low,open,neutral,Account question: Can someone help me understand a feature in my account?,support
TCK-0039,2026-03-03 01:52:37,CUST-1269,email,Invoice problem,I was charged twice for my subscription and I need a refund.,billing,high,open,negative,Invoice problem: I was charged twice for my subscription and I need a refund.,billing
TCK-0040,2026-03-18 17:27:37,CUST-1082,phone,Invoice problem,The invoice amount looks incorrect on my account.,billing,medium,pending,positive,Invoice problem: The invoice amount looks incorrect on my account.,billing
TCK-0041,2026-02-09 06:01:37,CUST-1268,web,Suggestion for export options,Please consider improving the dashboard usability.,product,low,open,neutral,Suggestion for export options: Please consider improving the dashboard usability.,product
TCK-0042,2026-02-10 20:31:37,CUST-1263,web,Support request,"This is not urgent, I just need clarification.",general,medium,open,neutral,"Support request: This is not urgent, I just need clarification.",support
TCK-0043,2026-03-11 19:40:37,CUST-1044,phone,Account question,"This is not urgent, I just need clarification.",general,medium,open,neutral,"Account question: This is not urgent, I just need clarification.",support
TCK-0044,2026-03-07 09:02:37,CUST-1122,chat,Password reset issue,There seems to be a bug when I try to open the dashboard.,technical,low,closed,neutral,Password reset issue: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0045,2026-01-23 14:36:37,CUST-1059,chat,Double charge,I have not received my refund after several days.,billing,high,open,negative,Double charge: I have not received my refund after several days.,billing
TCK-0046,2026-02-25 21:55:37,CUST-1150,web,General question,Could your support team guide me on the next steps?,general,low,pending,neutral,General question: Could your support team guide me on the next steps?,support
TCK-0047,2026-03-18 07:08:37,CUST-1148,chat,Export button not working,I cannot log into my account after resetting my password.,technical,medium,open,neutral,Export button not working: I cannot log into my account after resetting my password.,engineering
TCK-0048,2026-03-01 12:10:37,CUST-1108,phone,Login problem,The application is slow and sometimes throws an error.,technical,medium,open,negative,Login problem: The application is slow and sometimes throws an error.,engineering
TCK-0049,2026-02-03 07:55:37,CUST-1031,phone,General question,Can someone help me understand a feature in my account?,general,low,open,positive,General question: Can someone help me understand a feature in my account?,support
TCK-0050,2026-03-19 21:09:37,CUST-1283,web,Invoice problem,The invoice amount looks incorrect on my account.,billing,medium,pending,neutral,Invoice problem: The invoice amount looks incorrect on my account.,billing
TCK-0051,2026-02-10 00:51:37,CUST-1157,web,Double charge,The invoice amount looks incorrect on my account.,billing,medium,closed,neutral,Double charge: The invoice amount looks incorrect on my account.,billing
TCK-0052,2026-02-23 03:39:37,CUST-1179,chat,Password reset issue,There seems to be a bug when I try to open the dashboard.,technical,medium,open,neutral,Password reset issue: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0053,2026-01-29 14:26:37,CUST-1287,web,Export button not working,I am unable to access a feature that worked yesterday.,technical,medium,open,neutral,Export button not working: I am unable to access a feature that worked yesterday.,engineering
TCK-0054,2026-01-26 03:50:37,CUST-1283,chat,Refund request,My payment failed but the money was still debited.,billing,low,pending,neutral,Refund request: My payment failed but the money was still debited.,billing
TCK-0055,2026-02-12 04:49:37,CUST-1113,email,Invoice problem,The invoice amount looks incorrect on my account.,billing,low,closed,neutral,Invoice problem: The invoice amount looks incorrect on my account.,billing
TCK-0056,2026-03-13 17:27:37,CUST-1122,phone,Account question,Could your support team guide me on the next steps?,general,low,closed,neutral,Account question: Could your support team guide me on the next steps?,support
TCK-0057,2026-02-09 10:57:37,CUST-1251,web,Need better filtering,A CSV export with more columns would be very useful.,product,low,open,positive,Need better filtering: A CSV export with more columns would be very useful.,product
TCK-0058,2026-01-25 01:16:37,CUST-1068,email,Double charge,I was charged twice for my subscription and I need a refund.,billing,high,open,negative,Double charge: I was charged twice for my subscription and I need a refund.,billing
TCK-0059,2026-03-03 14:17:37,CUST-1169,email,Password reset issue,The application is slow and sometimes throws an error.,technical,high,open,negative,Password reset issue: The application is slow and sometimes throws an error.,engineering
TCK-0060,2026-03-14 20:54:37,CUST-1055,chat,Dashboard improvement,This is not urgent but I have a product suggestion.,product,low,open,neutral,Dashboard improvement: This is not urgent but I have a product suggestion.,product
TCK-0061,2026-02-11 21:43:37,CUST-1063,email,Login problem,I cannot log into my account after resetting my password.,technical,high,closed,negative,Login problem: I cannot log into my account after resetting my password.,engineering
TCK-0062,2026-02-28 19:09:37,CUST-1139,chat,Dashboard crash,There seems to be a bug when I try to open the dashboard.,technical,medium,closed,neutral,Dashboard crash: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0063,2026-03-02 22:37:37,CUST-1239,email,Payment issue,My payment failed but the money was still debited.,billing,medium,open,positive,Payment issue: My payment failed but the money was still debited.,billing
TCK-0064,2026-03-05 13:00:37,CUST-1084,chat,Login problem,The application is slow and sometimes throws an error.,technical,high,closed,negative,Login problem: The application is slow and sometimes throws an error.,engineering
TCK-0065,2026-02-21 21:18:37,CUST-1180,web,Login problem,I cannot log into my account after resetting my password.,technical,high,closed,negative,Login problem: I cannot log into my account after resetting my password.,engineering
TCK-0066,2026-01-21 17:45:37,CUST-1094,phone,Feature request,It would be great to have dark mode in the dashboard.,product,low,closed,positive,Feature request: It would be great to have dark mode in the dashboard.,product
TCK-0067,2026-03-14 18:33:37,CUST-1042,email,Dark mode suggestion,It would be great to have dark mode in the dashboard.,product,medium,open,positive,Dark mode suggestion: It would be great to have dark mode in the dashboard.,product
TCK-0068,2026-02-26 13:34:37,CUST-1123,email,Export button not working,The export button crashes every time I click on it.,technical,high,open,negative,Export button not working: The export button crashes every time I click on it.,engineering
TCK-0069,2026-02-03 18:39:37,CUST-1188,web,Subscription billing issue,I was charged twice for my subscription and I need a refund.,billing,high,pending,negative,Subscription billing issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0070,2026-02-03 11:49:37,CUST-1198,web,Payment issue,Please help me fix this billing problem quickly.,billing,medium,open,negative,Payment issue: Please help me fix this billing problem quickly.,billing
TCK-0071,2026-02-06 10:15:37,CUST-1235,email,Payment issue,The invoice amount looks incorrect on my account.,billing,low,open,positive,Payment issue: The invoice amount looks incorrect on my account.,billing
TCK-0072,2026-03-09 22:27:37,CUST-1189,chat,Export button not working,There seems to be a bug when I try to open the dashboard.,technical,low,open,neutral,Export button not working: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0073,2026-01-30 02:28:37,CUST-1050,phone,General question,"This is not urgent, I just need clarification.",general,medium,open,neutral,"General question: This is not urgent, I just need clarification.",support
TCK-0074,2026-01-29 10:53:37,CUST-1044,phone,Login problem,The export button crashes every time I click on it.,technical,high,open,negative,Login problem: The export button crashes every time I click on it.,engineering
TCK-0075,2026-02-28 13:45:37,CUST-1282,email,Subscription billing issue,I was charged twice for my subscription and I need a refund.,billing,high,closed,negative,Subscription billing issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0076,2026-01-29 12:13:37,CUST-1284,chat,Dashboard crash,I cannot log into my account after resetting my password.,technical,medium,pending,negative,Dashboard crash: I cannot log into my account after resetting my password.,engineering
TCK-0077,2026-02-11 23:49:37,CUST-1291,web,Need better filtering,A CSV export with more columns would be very useful.,product,low,open,positive,Need better filtering: A CSV export with more columns would be very useful.,product
TCK-0078,2026-02-23 17:33:37,CUST-1185,web,Feature request,I would like more filtering options in reports.,product,low,pending,neutral,Feature request: I would like more filtering options in reports.,product
TCK-0079,2026-02-10 02:29:37,CUST-1267,email,Login problem,The application is slow and sometimes throws an error.,technical,high,open,negative,Login problem: The application is slow and sometimes throws an error.,engineering
TCK-0080,2026-02-22 11:37:37,CUST-1012,web,Invoice problem,I was charged twice for my subscription and I need a refund.,billing,high,pending,negative,Invoice problem: I was charged twice for my subscription and I need a refund.,billing
TCK-0081,2026-03-01 21:21:37,CUST-1225,web,Payment issue,I was charged twice for my subscription and I need a refund.,billing,high,open,negative,Payment issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0082,2026-02-05 01:57:37,CUST-1246,web,Password reset issue,There seems to be a bug when I try to open the dashboard.,technical,low,open,neutral,Password reset issue: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0083,2026-02-18 23:47:37,CUST-1073,chat,Bug report,I am unable to access a feature that worked yesterday.,technical,low,pending,neutral,Bug report: I am unable to access a feature that worked yesterday.,engineering
TCK-0084,2026-01-22 12:53:37,CUST-1102,web,Double charge,I have not received my refund after several days.,billing,high,open,negative,Double charge: I have not received my refund after several days.,billing
TCK-0085,2026-03-08 05:57:37,CUST-1021,web,Password reset issue,I am unable to access a feature that worked yesterday.,technical,low,pending,neutral,Password reset issue: I am unable to access a feature that worked yesterday.,engineering
TCK-0086,2026-02-14 21:16:37,CUST-1173,phone,Dashboard crash,There seems to be a bug when I try to open the dashboard.,technical,medium,pending,neutral,Dashboard crash: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0087,2026-01-19 09:42:37,CUST-1098,phone,Payment issue,My payment failed but the money was still debited.,billing,low,closed,neutral,Payment issue: My payment failed but the money was still debited.,billing
TCK-0088,2026-03-02 23:52:37,CUST-1285,email,Refund request,My payment failed but the money was still debited.,billing,medium,closed,neutral,Refund request: My payment failed but the money was still debited.,billing
TCK-0089,2026-03-07 16:15:37,CUST-1022,web,Suggestion for export options,Please consider improving the dashboard usability.,product,low,pending,neutral,Suggestion for export options: Please consider improving the dashboard usability.,product
TCK-0090,2026-03-13 01:26:37,CUST-1012,chat,Dashboard crash,I am unable to access a feature that worked yesterday.,technical,medium,open,neutral,Dashboard crash: I am unable to access a feature that worked yesterday.,engineering
TCK-0091,2026-03-16 10:16:37,CUST-1117,phone,Dark mode suggestion,It would be great to have dark mode in the dashboard.,product,low,pending,positive,Dark mode suggestion: It would be great to have dark mode in the dashboard.,product
TCK-0092,2026-03-19 12:48:37,CUST-1299,phone,Dashboard improvement,I would like more filtering options in reports.,product,low,open,positive,Dashboard improvement: I would like more filtering options in reports.,product
TCK-0093,2026-02-22 10:30:37,CUST-1104,email,Login problem,I am unable to access a feature that worked yesterday.,technical,low,pending,neutral,Login problem: I am unable to access a feature that worked yesterday.,engineering
TCK-0094,2026-03-18 15:57:37,CUST-1231,web,Dashboard crash,There seems to be a bug when I try to open the dashboard.,technical,medium,pending,neutral,Dashboard crash: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0095,2026-02-06 11:02:37,CUST-1051,chat,Export button not working,There seems to be a bug when I try to open the dashboard.,technical,medium,closed,neutral,Export button not working: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0096,2026-02-10 02:41:37,CUST-1206,web,Support request,I have a general question about how the platform works.,general,medium,open,positive,Support request: I have a general question about how the platform works.,support
TCK-0097,2026-02-20 04:46:37,CUST-1190,web,Login problem,I am unable to access a feature that worked yesterday.,technical,low,open,positive,Login problem: I am unable to access a feature that worked yesterday.,engineering
TCK-0098,2026-01-23 09:29:37,CUST-1051,web,Clarification needed,I have a general question about how the platform works.,general,low,open,neutral,Clarification needed: I have a general question about how the platform works.,support
TCK-0099,2026-02-15 23:55:37,CUST-1172,chat,Export button not working,The export button crashes every time I click on it.,technical,medium,closed,negative,Export button not working: The export button crashes every time I click on it.,engineering
TCK-0100,2026-03-07 14:37:37,CUST-1286,web,Login problem,I am unable to access a feature that worked yesterday.,technical,low,open,positive,Login problem: I am unable to access a feature that worked yesterday.,engineering
TCK-0101,2026-02-07 01:55:37,CUST-1068,phone,Export button not working,I cannot log into my account after resetting my password.,technical,medium,open,negative,Export button not working: I cannot log into my account after resetting my password.,engineering
TCK-0102,2026-03-03 07:22:37,CUST-1256,web,Bug report,The application is slow and sometimes throws an error.,technical,high,pending,negative,Bug report: The application is slow and sometimes throws an error.,engineering
TCK-0103,2026-03-18 23:54:37,CUST-1229,chat,Suggestion for export options,It would be great to have dark mode in the dashboard.,product,low,closed,positive,Suggestion for export options: It would be great to have dark mode in the dashboard.,product
TCK-0104,2026-02-28 11:35:37,CUST-1189,chat,Invoice problem,My payment failed but the money was still debited.,billing,low,closed,neutral,Invoice problem: My payment failed but the money was still debited.,billing
TCK-0105,2026-03-08 11:20:37,CUST-1112,chat,Refund request,The invoice amount looks incorrect on my account.,billing,low,open,positive,Refund request: The invoice amount looks incorrect on my account.,billing
TCK-0106,2026-02-06 10:00:37,CUST-1219,email,Refund request,Please help me fix this billing problem quickly.,billing,low,open,negative,Refund request: Please help me fix this billing problem quickly.,billing
TCK-0107,2026-01-25 19:53:37,CUST-1044,email,Refund request,The invoice amount looks incorrect on my account.,billing,low,open,positive,Refund request: The invoice amount looks incorrect on my account.,billing
TCK-0108,2026-02-11 17:25:37,CUST-1261,web,Subscription billing issue,I was charged twice for my subscription and I need a refund.,billing,high,open,negative,Subscription billing issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0109,2026-02-04 16:30:37,CUST-1004,chat,Export button not working,The export button crashes every time I click on it.,technical,high,open,neutral,Export button not working: The export button crashes every time I click on it.,engineering
TCK-0110,2026-03-02 21:34:37,CUST-1271,web,Dashboard improvement,Please consider improving the dashboard usability.,product,low,closed,neutral,Dashboard improvement: Please consider improving the dashboard usability.,product
TCK-0111,2026-01-25 02:00:37,CUST-1193,phone,Password reset issue,I cannot log into my account after resetting my password.,technical,high,open,negative,Password reset issue: I cannot log into my account after resetting my password.,engineering
TCK-0112,2026-02-28 23:06:37,CUST-1077,chat,Export button not working,The application is slow and sometimes throws an error.,technical,high,open,negative,Export button not working: The application is slow and sometimes throws an error.,engineering
TCK-0113,2026-02-16 22:19:37,CUST-1121,chat,Dark mode suggestion,It would be great to have dark mode in the dashboard.,product,low,open,positive,Dark mode suggestion: It would be great to have dark mode in the dashboard.,product
TCK-0114,2026-02-27 11:10:37,CUST-1279,email,Dashboard crash,I am unable to access a feature that worked yesterday.,technical,low,closed,neutral,Dashboard crash: I am unable to access a feature that worked yesterday.,engineering
TCK-0115,2026-01-23 17:08:37,CUST-1273,email,Login problem,I am unable to access a feature that worked yesterday.,technical,low,pending,positive,Login problem: I am unable to access a feature that worked yesterday.,engineering
TCK-0116,2026-01-28 05:35:37,CUST-1210,email,Login problem,The export button crashes every time I click on it.,technical,medium,closed,neutral,Login problem: The export button crashes every time I click on it.,engineering
TCK-0117,2026-01-27 14:58:37,CUST-1209,phone,Dashboard crash,The application is slow and sometimes throws an error.,technical,high,closed,negative,Dashboard crash: The application is slow and sometimes throws an error.,engineering
TCK-0118,2026-03-17 10:03:37,CUST-1184,email,Account question,Could your support team guide me on the next steps?,general,low,open,positive,Account question: Could your support team guide me on the next steps?,support
TCK-0119,2026-03-17 22:40:37,CUST-1051,chat,Export button not working,The export button crashes every time I click on it.,technical,medium,open,negative,Export button not working: The export button crashes every time I click on it.,engineering
TCK-0120,2026-02-20 11:10:37,CUST-1269,web,Account question,Can someone help me understand a feature in my account?,general,low,open,neutral,Account question: Can someone help me understand a feature in my account?,support
TCK-0121,2026-02-20 14:26:37,CUST-1132,email,Login problem,There seems to be a bug when I try to open the dashboard.,technical,low,open,neutral,Login problem: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0122,2026-03-17 03:42:37,CUST-1068,web,Dark mode suggestion,It would be great to have dark mode in the dashboard.,product,low,open,positive,Dark mode suggestion: It would be great to have dark mode in the dashboard.,product
TCK-0123,2026-01-30 05:14:37,CUST-1256,chat,Dark mode suggestion,I would like more filtering options in reports.,product,low,open,neutral,Dark mode suggestion: I would like more filtering options in reports.,product
TCK-0124,2026-02-04 05:49:37,CUST-1192,email,Subscription billing issue,The invoice amount looks incorrect on my account.,billing,low,pending,neutral,Subscription billing issue: The invoice amount looks incorrect on my account.,billing
TCK-0125,2026-03-02 18:32:37,CUST-1048,web,Subscription billing issue,I was charged twice for my subscription and I need a refund.,billing,high,closed,neutral,Subscription billing issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0126,2026-01-30 22:17:37,CUST-1025,phone,Dark mode suggestion,I would like more filtering options in reports.,product,low,open,neutral,Dark mode suggestion: I would like more filtering options in reports.,product
TCK-0127,2026-03-18 08:28:37,CUST-1001,web,Dark mode suggestion,This is not urgent but I have a product suggestion.,product,low,closed,neutral,Dark mode suggestion: This is not urgent but I have a product suggestion.,product
TCK-0128,2026-02-05 01:54:37,CUST-1293,phone,Dashboard crash,I cannot log into my account after resetting my password.,technical,high,closed,negative,Dashboard crash: I cannot log into my account after resetting my password.,engineering
TCK-0129,2026-01-29 06:56:37,CUST-1113,chat,Login problem,The export button crashes every time I click on it.,technical,high,open,negative,Login problem: The export button crashes every time I click on it.,engineering
TCK-0130,2026-03-09 10:08:37,CUST-1041,chat,Password reset issue,There seems to be a bug when I try to open the dashboard.,technical,medium,pending,neutral,Password reset issue: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0131,2026-02-08 03:55:37,CUST-1124,chat,Suggestion for export options,I would like more filtering options in reports.,product,low,open,neutral,Suggestion for export options: I would like more filtering options in reports.,product
